;cod_municipio;nome_municipio;regiao_administrativa;regiao_metropolitana;habitantes;PIB;nascidos_vivos
0;3500105;Adamantina;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;33869;R$ 1.256.561.606;32.0
1;3500204;Adolfo;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;3436;R$ 136.701.363;131.0
2;3500303;Aguaí;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;35885;R$ 1.152.443.311;20.0
3;3500402;Águas da Prata;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;7807;R$ 186.768.100;120.0
4;3500501;Águas de Lindóia;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;18438;R$ 496.876.915;20.0
5;3500550;Águas de Santa Bárbara;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;5957;R$ 200.526.489;82.0
6;3500600;Águas de São Pedro;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;3144;R$ 137.976.387;31.0
7;3500709;Agudos;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;36255;R$ 2.311.348.096;12.0
8;3500758;Alambari;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;5856;R$ 121.555.881;157.0
9;3500808;Alfredo Marcondes;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;3924;R$ 109.884.835;27.0
10;3500907;Altair;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;4052;R$ 111.679.064;21.0
11;3501004;Altinópolis;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;15547;R$ 651.335.252;12.0
12;3501103;Alto Alegre;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;4006;R$ 116.811.844;37.0
13;3501152;Alumínio;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;18069;R$ 2.251.140.966;8.0
14;3501202;Álvares Florence;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;3596;R$ 112.147.987;78.0
15;3501301;Álvares Machado;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;23828;R$ 614.914.747;13.0
16;3501400;Álvaro de Carvalho;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;5079;R$ 53.333.113;107.0
17;3501509;Alvinlândia;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;3190;R$ 57.585.363;7.0
18;3501608;Americana;Região Administrativa de Campinas;Região Metropolitana de Campinas;235075;R$ 12.078.626.874;15.0
19;3501707;Américo Brasiliense;Região Administrativa Central;Outros municípios do Estado de São Paulo;40676;R$ 1.095.798.527;811.0
20;3501806;Américo de Campos;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;5730;R$ 109.144.600;140.0
21;3501905;Amparo;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;69861;R$ 4.616.533.222;18.0
22;3502002;Analândia;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;4895;R$ 195.982.928;249.0
23;3502101;Andradina;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;56087;R$ 2.673.256.245;16.0
24;3502200;Angatuba;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;24697;R$ 1.320.266.583;213.0
25;3502309;Anhembi;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;6755;R$ 155.148.324;136.0
26;3502408;Anhumas;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;3983;R$ 82.951.812;20.0
27;3502507;Aparecida;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;35744;R$ 984.473.932;14.0
28;3502606;Aparecida d'Oeste;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;4105;R$ 155.886.941;131.0
29;3502705;Apiaí;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;24711;R$ 719.086.882;12.0
30;3502754;Araçariguama;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;5515;R$ 3.218.901.682;89.0
