,nome_municipio_destino,lon_destino,lat_destino,origem,destino,total_casamentos,ano,lon_origem,lat_origem
20,Bebedouro,-48.51074780137159,-20.940429391672627,3550308,3506102,1,2021,-46.64801282472266,-23.649919671153047
21,Bertioga,-46.029959559546384,-23.759800372255633,3550308,3506359,3,2021,-46.64801282472266,-23.649919671153047
22,Birigui,-50.35093089322343,-21.261560379695563,3550308,3506508,1,2021,-46.64801282472266,-23.649919671153047
23,Bofete,-48.28581996058738,-23.128940427054918,3550308,3506904,2,2021,-46.64801282472266,-23.649919671153047
24,Boituva,-47.67496931948617,-23.28757773768226,3550308,3507001,20,2021,-46.64801282472266,-23.649919671153047
25,Botucatu,-48.468249208927,-22.86344086737739,3550308,3507506,1,2021,-46.64801282472266,-23.649919671153047
26,Bragança Paulista,-46.55595464061905,-22.938347627314194,3550308,3507605,13,2021,-46.64801282472266,-23.649919671153047
27,Brotas,-48.08125456979454,-22.273271770713343,3550308,3507902,1,2021,-46.64801282472266,-23.649919671153047
28,Cabreúva,-47.08020805346742,-23.30130570141949,3550308,3508405,1,2021,-46.64801282472266,-23.649919671153047
29,Caçapava,-45.713328736350256,-23.10370837737954,3550308,3508504,2,2021,-46.64801282472266,-23.649919671153047
30,Cachoeira Paulista,-44.991708329783386,-22.70235469637352,3550308,3508603,2,2021,-46.64801282472266,-23.649919671153047
31,Caconde,-46.61704529612146,-21.539502039688266,3550308,3508702,1,2021,-46.64801282472266,-23.649919671153047
32,Cafelândia,-49.54858275219191,-21.73116352437703,3550308,3508801,1,2021,-46.64801282472266,-23.649919671153047
33,Caieiras,-46.74523573337271,-23.3759356157253,3550308,3509007,25,2021,-46.64801282472266,-23.649919671153047
34,Caiuá,-51.98653454640022,-21.801406768575088,3550308,3509106,1,2021,-46.64801282472266,-23.649919671153047
35,Cajamar,-46.87203858058,-23.35142567355794,3550308,3509205,9,2021,-46.64801282472266,-23.649919671153047
36,Cajati,-48.195009354998604,-24.772029321199103,3550308,3509254,1,2021,-46.64801282472266,-23.649919671153047
37,Campinas,-47.04375762624352,-22.883748024009478,3550308,3509502,19,2021,-46.64801282472266,-23.649919671153047
38,Campos do Jordão,-45.53303775304809,-22.70162709863829,3550308,3509700,3,2021,-46.64801282472266,-23.649919671153047
39,Capão Bonito,-48.28994316735752,-24.03918612641527,3550308,3510203,1,2021,-46.64801282472266,-23.649919671153047
40,Capivari,-47.47801600739543,-22.980707056232802,3550308,3510401,2,2021,-46.64801282472266,-23.649919671153047
41,Caraguatatuba,-45.48803863677825,-23.639671604649138,3550308,3510500,1,2021,-46.64801282472266,-23.649919671153047
42,Carapicuíba,-46.84192820034561,-23.550038720469413,3550308,3510609,34,2021,-46.64801282472266,-23.649919671153047
43,Cardoso,-49.94762763647835,-20.067164136089534,3550308,3510708,2,2021,-46.64801282472266,-23.649919671153047
44,Casa Branca,-47.088133330720304,-21.800486353319958,3550308,3510807,1,2021,-46.64801282472266,-23.649919671153047
45,Catanduva,-48.963657788424115,-21.133758349557908,3550308,3511102,2,2021,-46.64801282472266,-23.649919671153047
46,Cerquilho,-47.757134786507685,-23.187120948060844,3550308,3511508,1,2021,-46.64801282472266,-23.649919671153047
47,Charqueada,-47.74620161130547,-22.530171688412675,3550308,3511706,1,2021,-46.64801282472266,-23.649919671153047
48,Colômbia,-48.721751874458576,-20.26688116027681,3550308,3512100,1,2021,-46.64801282472266,-23.649919671153047
49,Conchas,-48.0471032570312,-22.96560959525965,3550308,3512308,1,2021,-46.64801282472266,-23.649919671153047
50,Cosmópolis,-47.186367685014986,-22.651638362931745,3550308,3512803,2,2021,-46.64801282472266,-23.649919671153047
51,Cotia,-46.96048861125036,-23.675141701928688,3550308,3513009,63,2021,-46.64801282472266,-23.649919671153047
52,Cruzeiro,-45.00631441484788,-22.551424538902317,3550308,3513405,1,2021,-46.64801282472266,-23.649919671153047
53,Cubatão,-46.40818227896476,-23.86589797796975,3550308,3513504,2,2021,-46.64801282472266,-23.649919671153047
